part,question_text,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,difficulty,tags
part5,Mika will review the report for the Osaka branch ------- this morning.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,intermediate,adverb|word-form
part5,Ken will submit the proposal for the Tokyo branch ------- after lunch.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Aiko will update the schedule for the Nagoya branch ------- by Friday.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Rina will prepare the invoice for the Kyoto branch ------- before the meeting.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,intermediate,adverb|word-form
part5,Yuto will check the contract for the Fukuoka branch ------- at two o clock.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Sara will send the manual for the Sapporo branch ------- next week.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Daniel will print the receipt for the Kobe branch ------- today.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,intermediate,adverb|word-form
part5,Emma will approve the budget for the Sendai branch ------- tomorrow.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Nina will share the agenda for the Yokohama branch ------- this afternoon.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Leo will finish the presentation for the Naha branch ------- by the end of the day.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,intermediate,adverb|word-form
part5,Hiro will revise the catalog for the Chiba branch ------- before noon.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Maya will file the survey for the Kumamoto branch ------- on Monday.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
